name,price,approximation,market_ID
PRETO Ryba Žilina Treska Exklusiv feferónový šalát 145 g,1.59 €,0,1
PRETO Ryba Žilina Treska Exklusiv nepravý losos 145 g,1.59 €,0,1
PRETO Ryba Žilina Rybí šalát Exklusiv 140 g,1.49 €,0,1
Parížsky šalát 500g,3.69 €,0,1
Lahôdkový šalát 400g,2.99 €,0,1
Piknik Ruské vajce duo 240 g,2.39 €,0,1
Piknik Ruské vajce duo pikant 240 g,2.39 €,0,1
Actimel jogurtový nápoj s vitamínmi jahoda 8 x 100 g,4.65 €,0,1
Actimel jogurtový nápoj s vitamínmi biely 8 x 100 g,4.65 €,0,1
Actimel jogurtový nápoj s vitamínmi biely 4 x 100 g,2.55 €,0,1
Actimel jogurtový nápoj s vitamínmi jahoda 4 x 100 g,2.55 €,0,1
Müller Müllermilch Mliečny nápoj s čokoládovou príchuťou 400 g,0.99 €,0,1
Müller Müllermilch Mliečny nápoj s banánovou príchuťou 400 g,0.99 €,0,1
Müller Müllermilch Mliečny nápoj s jahodovou príchuťou 400 g,0.99 €,0,1
Müller Müllermilch Limited mliečny nápoj s príchuťou jahodového cheesecake 400 g,0.99 €,0,1
YoPro Protein mliečny nápoj s vanilkovou príchuťou 250 ml,1.69 €,0,1
YoPro Protein mliečny nápoj s čokoládovou príchuťou 250 ml,1.69 €,0,1
Rajo Active Protein Čokoláda 250 ml,1.59 €,0,1
Rajo Active Protein Vanilka 250 ml,1.59 €,0,1
Rajo Active Protein Banán 250 ml,1.59 €,0,1
Rajo Active Protein Kokos 250 ml,1.59 €,0,1
Activia Probiotický jogurtový nápoj lesné plody 280 g,1.39 €,0,1
Activia Probiotický jogurtový nápoj jahoda a kiwi 280 g,1.39 €,0,1
Rajo Probia Nature Jahoda 430 g,1.49 €,0,1
Rajo Probia Nature Mango 430 g,1.49 €,0,1
Rajo Probia Nature Vanilka Bourbon 430 g,1.49 €,0,1
Rajo Probia Imuno Čučoriedka 430 g,1.49 €,0,1
Rajo Acidko Biele 36% 950 g,1.89 €,0,1
Rajo Acidko Biele 1% 950 g,1.89 €,0,1
Rajo Acidko Biele 36% 450 g,1.09 €,0,1
Rajo Acidko Biele 1% 450 g,1.09 €,0,1
BILLA Kukuričný chlebík mliečna čokoláda 90g,1.19 €,0,1
Racio Polomáčané ryžové chlebíčky jogurtová poleva 100 g,1.29 €,0,1
Racio Tenké chlebíčky ryžové s mliečnokakaovou polevou 100 g,1.29 €,0,1
Malokarpatský chlebíček ryža - kakao 60 g,0.69 €,0,1
Malokarpatský chlebíček ryža - jogurt 60 g,0.69 €,0,1
Racio Cornies kukuričné chlebíčky s ľanovým semienkom 115 g,0.99 €,0,1
Racio Cornies kukuričné chlebíčky s medvedím cesnakom 115 g,0.99 €,0,1
Racio Cornies polomáčané kukuričné chlebíčky s horkou čokoládou 75 g,0.99 €,0,1
Racio Cornies kukuričné chlebíčky s morskou soľou 115 g,0.99 €,0,1
Racio Bio špaldové chlebíčky 140 g,1.39 €,0,1
Racio Free Style Ryžové chlebíčky s príchuťou paradajky a bazalky 25 g,0.59 €,0,1
Racio Free Style Ryžové chlebíčky s príchuťou syra 25 g,0.59 €,0,1
Racio Chlebíčky ryžové 130 g,0.99 €,0,1
Racio Chlebíčky pšeničné 130 g,0.99 €,0,1
Racio Raciolky Minichlebíčky ryžové s mliečnokakaovou polevou 60 g,0.99 €,0,1
Racio Raciolky Jogurtové 60 g,1.05 €,0,1
Racio Polomáčané kukuričné chlebíčky mliečnokakaová poleva 100 g,1.09 €,0,1
Racio Chlebíčky ryžové so sójou 130 g,1.05 €,0,1
Racio Bio ryžové chlebíčky 140 g,1.39 €,0,1
Druid Celpo Celozrnné extra jemné chlebíčky 100 % špalda 80 g,0.99 €,0,1
